className,start,end,act,census
"act-even census-even","2016, 4, 24",,2013,2016
"act-even census-odd","2016, 2, 3","2016, 4, 24",2013,2011
"act-odd census-even","2011, 4, 10","2016, 2, 3",2009,2011
"act-odd census-odd","2011, 2, 1","2011, 4, 10",2009,2006
"act-even census-even","2007, 4, 26","2011, 2, 1",2005,2006
"act-odd census-even","2006, 4, 23","2007, 4, 26",2005,2002
"act-odd census-odd","2002, 4, 28","2006, 4, 23",,2002
"act-odd census-even","2002, 4, 25","2002, 4, 28",,1996
"act-even census-even","1997, 1, 1","2002, 4, 25",,1996
"act-even census-odd","1996, 4, 28","1997, 1, 1",,1996
